,start_year,team_id,team_name,id,first_name,last_name,primary_number,birth_date,current_age,birth_city,birth_state_province,birth_country,nationality,height,weight,active,alternate_captain,captain,rookie,shoots_catches,roster_status,position_name,position_type,position_abbreviation
0,2020,1,New Jersey Devils,8477972,Josh,Jacobs,40,1996-02-15,25,Shelby Township,MI,USA,USA,"6' 2""",200,True,False,False,True,R,Y,Defenseman,Defenseman,D
1,2020,1,New Jersey Devils,8478421,A.J.,Greer,42,1996-12-14,24,Joliette,QC,CAN,CAN,"6' 3""",210,True,False,False,False,L,Y,Left Wing,Forward,LW
2,2020,1,New Jersey Devils,8474056,P.K.,Subban,76,1989-05-13,32,Toronto,ON,CAN,CAN,"6' 0""",210,True,True,False,False,R,Y,Defenseman,Defenseman,D
3,2020,1,New Jersey Devils,8475809,Scott,Wedgewood,41,1992-08-14,28,Brampton,ON,CAN,CAN,"6' 2""",207,True,False,False,False,L,Y,Goalie,Goalie,G
4,2020,1,New Jersey Devils,8476807,Matt,Tennyson,7,1990-04-23,31,Minneapolis,MN,USA,USA,"6' 2""",205,True,False,False,False,R,Y,Defenseman,Defenseman,D
5,2020,1,New Jersey Devils,8476850,Ryan,Murray,22,1993-09-27,27,Regina,SK,CAN,CAN,"6' 1""",206,True,False,False,False,L,Y,Defenseman,Defenseman,D
6,2020,1,New Jersey Devils,8476923,Damon,Severson,28,1994-08-07,26,Melville,SK,CAN,CAN,"6' 2""",205,True,True,False,False,R,Y,Defenseman,Defenseman,D
7,2020,1,New Jersey Devils,8476941,Connor,Carrick,5,1994-04-13,27,Orland Park,IL,USA,USA,"5' 11""",192,True,False,False,False,R,Y,Defenseman,Defenseman,D
8,2020,1,New Jersey Devils,8477180,Aaron,Dell,47,1989-05-04,32,Airdrie,AB,CAN,CAN,"6' 0""",209,True,False,False,False,L,Y,Goalie,Goalie,G
9,2020,1,New Jersey Devils,8477341,Andreas,Johnsson,11,1994-11-21,26,Gävle,,SWE,SWE,"5' 10""",194,True,False,False,False,L,Y,Left Wing,Forward,LW
10,2020,1,New Jersey Devils,8477355,Will,Butcher,8,1995-01-06,26,Sun Prairie,WI,USA,USA,"5' 10""",190,True,False,False,False,L,Y,Defenseman,Defenseman,D
11,2020,1,New Jersey Devils,8477425,Miles,Wood,44,1995-09-13,25,Buffalo,NY,USA,USA,"6' 2""",195,True,True,False,False,L,Y,Left Wing,Forward,LW
12,2020,1,New Jersey Devils,8478399,Jonas,Siegenthaler,71,1997-05-06,24,Zurich,,CHE,CHE,"6' 3""",211,True,False,False,False,L,Y,Defenseman,Defenseman,D
13,2020,1,New Jersey Devils,8478401,Pavel,Zacha,37,1997-04-06,24,Brno,,CZE,CZE,"6' 3""",210,True,False,False,False,L,Y,Center,Forward,C
14,2020,1,New Jersey Devils,8478406,Mackenzie,Blackwood,29,1996-12-09,24,Thunder Bay,ON,CAN,CAN,"6' 4""",225,True,False,False,False,L,Y,Goalie,Goalie,G
15,2020,1,New Jersey Devils,8478447,Nicholas,Merkley,39,1997-05-23,24,Calgary,AB,CAN,CAN,"5' 10""",194,True,False,False,True,L,Y,Right Wing,Forward,RW
16,2020,1,New Jersey Devils,8479407,Jesper,Bratt,63,1998-07-30,22,Stockholm,,SWE,SWE,"5' 10""",175,True,False,False,False,L,Y,Left Wing,Forward,LW
17,2020,1,New Jersey Devils,8479414,Nathan,Bastian,14,1997-12-06,23,Kitchener,ON,CAN,CAN,"6' 4""",205,True,False,False,True,R,Y,Right Wing,Forward,RW
18,2020,1,New Jersey Devils,8479415,Michael,McLeod,20,1998-02-03,23,Mississauga,ON,CAN,CAN,"6' 2""",188,True,False,False,False,R,Y,Center,Forward,C
19,2020,1,New Jersey Devils,8479511,Janne,Kuokkanen,59,1998-05-25,23,Oulunsalo,,FIN,FIN,"6' 1""",193,True,False,False,True,L,Y,Left Wing,Forward,LW
20,2020,1,New Jersey Devils,8479573,Mikhail,Maltsev,23,1998-03-12,23,St. Petersburg,,RUS,RUS,"6' 3""",198,True,False,False,True,L,Y,Left Wing,Forward,LW
21,2020,1,New Jersey Devils,8480002,Nico,Hischier,13,1999-01-04,22,Brig,,CHE,CHE,"6' 1""",175,True,False,True,False,L,Y,Center,Forward,C
22,2020,1,New Jersey Devils,8480003,Jesper,Boqvist,90,1998-10-30,22,Falun,,SWE,SWE,"6' 0""",180,True,False,False,False,L,Y,Center,Forward,C
23,2020,1,New Jersey Devils,8480883,Ty,Smith,24,2000-03-24,21,Lloydminster,AB,CAN,CAN,"5' 11""",175,True,False,False,True,L,Y,Defenseman,Defenseman,D
24,2020,1,New Jersey Devils,8481068,Yegor,Sharangovich,17,1998-06-06,23,Minsk,,BLR,BLR,"6' 2""",196,True,False,False,True,L,Y,Center,Forward,C
25,2020,1,New Jersey Devils,8481559,Jack,Hughes,86,2001-05-14,20,Orlando,FL,USA,USA,"5' 11""",176,True,False,False,False,L,Y,Center,Forward,C
26,2020,2,New York Islanders,8475314,Anders,Lee,27,1990-07-03,31,Edina,MN,USA,USA,"6' 3""",235,True,False,True,False,L,Y,Left Wing,Forward,LW
27,2020,2,New York Islanders,8470187,Johnny,Boychuk,55,1984-01-19,37,Edmonton,AB,CAN,CAN,"6' 2""",227,True,False,False,False,R,Y,Defenseman,Defenseman,D
28,2020,2,New York Islanders,8471217,Andrew,Ladd,16,1985-12-12,35,Maple Ridge,BC,CAN,CAN,"6' 3""",205,True,False,False,False,L,Y,Left Wing,Forward,LW
29,2020,2,New York Islanders,8470601,Braydon,Coburn,45,1985-02-27,36,Shaunavon,SK,CAN,CAN,"6' 5""",224,True,False,False,False,L,Y,Defenseman,Defenseman,D
30,2020,2,New York Islanders,8471233,Travis,Zajac,14,1985-05-13,36,Winnipeg,MB,CAN,CAN,"6' 2""",185,True,False,False,False,R,Y,Center,Forward,C
31,2020,2,New York Islanders,8471239,Cory,Schneider,35,1986-03-18,35,Marblehead,MA,USA,USA,"6' 3""",200,True,False,False,False,L,Y,Goalie,Goalie,G
32,2020,2,New York Islanders,8472382,Andy,Greene,4,1982-10-30,38,Trenton,MI,USA,USA,"5' 11""",190,True,False,False,False,L,Y,Defenseman,Defenseman,D
33,2020,2,New York Islanders,8473463,Leo,Komarov,47,1987-01-23,34,Narva,,EST,FIN,"6' 0""",208,True,False,False,False,L,Y,Right Wing,Forward,RW
34,2020,2,New York Islanders,8473504,Cal,Clutterbuck,15,1987-11-18,33,Welland,ON,CAN,CAN,"5' 11""",215,True,False,False,False,R,Y,Right Wing,Forward,RW
35,2020,2,New York Islanders,8473575,Semyon,Varlamov,40,1988-04-27,33,Samara,,RUS,RUS,"6' 2""",215,True,False,False,False,L,Y,Goalie,Goalie,G
36,2020,2,New York Islanders,8474066,Thomas,Hickey,34,1989-02-08,32,Calgary,AB,CAN,CAN,"6' 0""",186,True,False,False,False,L,Y,Defenseman,Defenseman,D
37,2020,2,New York Islanders,8474573,Josh,Bailey,12,1989-10-02,31,Bowmanville,ON,CAN,CAN,"6' 1""",200,True,False,False,False,L,Y,Right Wing,Forward,RW
38,2020,2,New York Islanders,8474586,Jordan,Eberle,7,1990-05-15,31,Regina,SK,CAN,CAN,"5' 11""",187,True,False,False,False,R,Y,Right Wing,Forward,RW
39,2020,2,New York Islanders,8474709,Matt,Martin,17,1989-05-08,32,Windsor,ON,CAN,CAN,"6' 4""",220,True,False,False,False,L,Y,Left Wing,Forward,LW
40,2020,2,New York Islanders,8475151,Kyle,Palmieri,21,1991-02-01,30,Smithtown,NY,USA,USA,"5' 11""",185,True,False,False,False,R,Y,Right Wing,Forward,RW
41,2020,2,New York Islanders,8475181,Nick,Leddy,2,1991-03-20,30,Eden Prairie,MN,USA,USA,"6' 0""",207,True,False,False,False,L,Y,Defenseman,Defenseman,D
